Date,Index,DJIA
2012-01-05,117.868418,117.306755
2012-01-06,118.129762,116.779731
2012-01-09,117.942715,117.08935
2012-01-10,119.453326,117.74865
2012-01-11,119.575782,117.625634
2012-01-12,119.989398,117.829432
2012-01-13,119.416327,117.366846
2012-01-17,121.010167,117.933836
2012-01-18,123.044267,118.849183
2012-01-19,123.803333,119.274638
2012-01-20,122.576809,120.186395
2012-01-23,123.016168,120.076229
2012-01-24,122.262326,119.763775
2012-01-25,126.261371,120.531068
2012-01-26,126.739306,120.320088
2012-01-27,127.340344,119.619311
2012-01-30,127.494052,119.555629
2012-01-31,128.274891,119.359011
2012-02-01,128.285571,120.148413
2012-02-02,128.857236,120.04401
2012-02-03,130.10253,121.525686
2012-02-06,129.983626,121.364121
2012-02-07,130.455415,121.676575
2012-02-08,131.41207,121.730902
2012-02-09,132.866273,121.79241
2012-02-10,132.101602,120.949342
2012-02-13,134.098276,121.63727
2012-02-14,134.056226,121.677331
2012-02-15,131.870173,120.757732
2012-02-16,132.476014,121.921096
2012-02-17,132.559684,122.353731
2012-02-21,134.161392,122.503203
2012-02-22,133.521269,122.247911
2012-02-23,134.094012,122.68272
2012-02-24,135.089433,122.66628
2012-02-27,135.714776,122.652674
2012-02-28,137.539637,122.875748
2012-02-29,137.076824,122.374518
2012-03-01,137.903942,122.641242
2012-03-02,137.266456,122.615448
2012-03-05,135.318629,122.475992
2012-03-06,133.402906,120.551759
2012-03-07,134.061561,121.290424
2012-03-08,136.644504,121.957566
2012-03-09,136.699613,122.090597
2012-03-12,137.146483,122.446702
2012-03-13,140.452843,124.506139
2012-03-14,141.737011,124.66128
2012-03-15,142.227488,125.215515
2012-03-16,142.562617,125.025227
2012-03-19,145.124421,125.086735
2012-03-20,145.496326,124.435372
2012-03-21,144.741635,124.004815
2012-03-22,143.628973,123.263315
2012-03-23,143.844123,123.590131
2012-03-26,146.206832,125.110356
2012-03-27,146.733454,124.695577
2012-03-28,146.199215,124.019838
2012-03-29,145.696721,124.205118
2012-03-30,144.968602,124.830782
2012-04-02,147.47352,125.326343
2012-04-03,148.107842,124.712773
2012-04-04,145.964137,123.53363
2012-04-05,147.103057,123.395591
2012-04-09,146.787532,122.162121
2012-04-10,144.065002,120.143406
2012-04-11,144.674552,120.988647
2012-04-12,145.735031,122.700577
2012-04-13,142.632624,121.40626
2012-04-16,139.81714,122.084834
2012-04-17,144.025525,123.919025
2012-04-18,143.777099,123.136803
2012-04-19,140.931973,122.48818
2012-04-20,140.030404,123.103829
2012-04-23,138.399992,122.139256
2012-04-24,137.839364,122.842112
2012-04-25,144.692589,123.684519
2012-04-26,144.557345,124.760676
2012-04-27,146.692438,124.984505
2012-04-30,144.330552,124.845804
2012-05-01,144.358749,125.466461
2012-05-02,143.937717,125.364892
2012-05-03,142.50686,124.779289
2012-05-04,139.332912,123.188958
2012-05-07,140.210234,122.907966
2012-05-08,139.561771,122.185741
2012-05-09,138.781281,121.268977
2012-05-10,139.608135,121.457753
2012-05-11,138.390839,121.132355
2012-05-14,136.136246,119.948961
2012-05-15,134.156875,119.350413
2012-05-16,132.911282,119.034369
2012-05-17,129.903363,117.559874
2012-05-18,128.913467,116.869111
2012-05-21,133.587911,118.145571
2012-05-22,133.028882,118.129793
2012-05-23,134.211589,118.066867
2012-05-24,133.402572,118.384329
2012-05-25,132.644887,117.676465
2012-05-29,134.275711,118.865623
2012-05-30,133.409625,117.34606
2012-05-31,133.220597,117.096531
2012-06-01,130.002141,114.499393
2012-06-04,131.184496,114.337734
2012-06-05,131.215933,114.588018
2012-06-06,134.221914,117.298157
2012-06-07,134.371986,117.734383
2012-06-08,135.248364,118.615339
2012-06-11,133.317397,117.264521
2012-06-12,134.706766,118.800525
2012-06-13,133.740122,118.06904
2012-06-14,134.384602,119.538528
2012-06-15,135.729189,120.627534
2012-06-18,137.071053,120.388021
2012-06-19,138.539016,121.290424
2012-06-20,138.432292,121.168164
2012-06-21,135.855793,118.798351
2012-06-22,137.313719,119.433369
2012-06-25,134.398589,118.128375
2012-06-26,135.064755,118.430814
2012-06-27,135.753425,119.303266
2012-06-28,134.760421,119.069422
2012-06-29,138.85404,121.694432
2012-07-02,140.452596,121.612232
2012-07-03,141.922831,122.29657
2012-07-05,142.134283,121.851084
2012-07-06,140.832967,120.67761
2012-07-09,141.291795,120.335772
2012-07-10,139.680515,119.549961
2012-07-11,139.728741,119.09087
2012-07-12,138.211317,118.795517
2012-07-13,140.22691,120.721261
2012-07-16,140.172992,120.249982
2012-07-17,140.523218,120.990064
2012-07-18,140.578751,121.964747
2012-07-19,142.29659,122.292223
2012-07-20,139.70158,121.150968
2012-07-23,138.758847,120.195655
2012-07-24,136.894198,119.211713
2012-07-25,133.648613,119.766609
2012-07-26,135.184423,121.768506
2012-07-27,139.593914,123.542228
2012-07-30,140.514046,123.51719
2012-07-31,141.724698,122.909384
2012-08-01,140.883056,122.55394
2012-08-02,139.685428,121.683
2012-08-03,142.545469,123.736012
2012-08-06,143.986695,123.937638
2012-08-07,144.340427,124.420349
2012-08-08,144.417544,124.486865
2012-08-09,144.697632,124.388131
2012-08-10,144.846935,124.792138
2012-08-13,145.550361,124.428191
2012-08-14,146.161598,124.453796
2012-08-15,145.966596,124.384257
2012-08-16,147.317631,125.190477
2012-08-17,148.570242,125.427534
2012-08-20,150.329957,125.393898
2012-08-21,149.259568,124.750849
2012-08-22,150.640423,124.459654
2012-08-23,149.29717,123.37027
2012-08-24,149.747378,124.319914
2012-08-27,150.753359,124.005287
2012-08-28,150.650694,123.800449
2012-08-29,150.111249,123.842872
2012-08-30,148.351473,122.834081
2012-08-31,149.241035,123.685653
2012-09-04,150.519105,123.166943
2012-09-05,149.839639,123.275976
2012-09-06,152.5221,125.586264
2012-09-07,154.912881,125.724587
2012-09-10,152.590917,125.229971
2012-09-11,153.001526,125.882562
2012-09-12,154.365034,125.97695
2012-09-13,157.199893,127.92811
2012-09-14,158.64987,128.433686
2012-09-17,158.949465,128.053205
2012-09-18,159.111865,128.162238
2012-09-19,159.184314,128.288089
2012-09-20,158.087559,128.467322
2012-09-21,157.758009,128.302356
2012-09-24,156.150512,128.108194
2012-09-25,153.4819,127.150424
2012-09-26,151.646068,126.734323
2012-09-27,154.553651,127.418943
2012-09-28,152.134352,126.95749
2012-10-01,151.823346,127.694266
2012-10-02,152.337598,127.384835
2012-10-03,154.245624,127.500576
2012-10-04,154.44808,128.263523
2012-10-05,153.042143,128.592228
2012-10-08,151.492217,128.341849
2012-10-09,149.949442,127.301407
2012-10-10,149.702814,126.086739
2012-10-11,148.86556,125.91119
2012-10-12,148.597827,125.934433
2012-10-15,149.765047,126.835608
2012-10-16,152.4347,128.040733
2012-10-17,153.405801,128.090053
2012-10-18,151.840151,128.0139
2012-10-19,147.715206,126.072944
2012-10-22,149.876175,126.095431
2012-10-23,146.920398,123.796103
2012-10-24,146.770935,123.558101
2012-10-25,145.690584,123.806968
2012-10-26,145.81653,123.840321
2012-10-31,144.890734,123.738752
2012-11-01,145.784763,125.025227
2012-11-02,143.296359,123.707573
2012-11-05,143.842611,123.889735
2012-11-06,144.67505,125.148621
2012-11-07,140.177219,122.191788
2012-11-08,136.955452,121.044675
2012-11-09,137.88856,121.08313
2012-11-12,137.428528,121.080201
2012-11-13,137.347377,120.523698
2012-11-14,135.539878,118.773597
2012-11-15,134.064388,118.50366
2012-11-16,134.896569,118.937619
2012-11-19,140.459366,120.89955
2012-11-20,140.287543,120.82916
2012-11-21,140.780259,121.286267
2012-11-23,142.687017,122.918832
2012-11-26,144.809734,122.519076
2012-11-27,143.59559,121.675913
2012-11-28,143.898604,122.686688
2012-11-29,145.838165,123.033534
2012-11-30,145.500505,123.069059
2012-12-03,145.292251,122.502353
2012-12-04,144.327027,122.371778
2012-12-05,140.878384,123.153243
2012-12-06,141.705681,123.526922
2012-12-07,140.206016,124.293081
2012-12-10,139.809551,124.432443
2012-12-11,141.699582,125.174698
2012-12-12,141.587507,125.146448
2012-12-13,140.480346,124.44038
2012-12-14,138.610102,124.102982
2012-12-17,140.655514,125.051399
2012-12-18,143.910892,126.143334
2012-12-19,142.559787,125.208051
2012-12-20,142.666222,125.772584
2012-12-21,141.608662,124.630479
2012-12-24,141.550882,124.141437
2012-12-26,139.875742,123.910049
2012-12-27,140.149041,123.737335
2012-12-28,138.616549,122.24262
2012-12-31,142.5573,123.811314
2013-01-02,146.905325,126.725252
2013-01-03,145.729882,126.525044
2013-01-04,144.48626,126.93935
2013-01-07,144.588141,126.458244
2013-01-08,144.329722,125.934433
2013-01-09,144.407436,126.517013
2013-01-10,145.597566,127.279582
2013-01-11,145.049128,127.442186
2013-01-14,143.457791,127.620664
2013-01-15,141.424884,127.881152
2013-01-16,143.168616,127.657606
2013-01-17,143.06704,128.458724
2013-01-18,143.07912,128.965907
2013-01-22,143.955555,129.556518
2013-01-23,144.305529,130.190685
2013-01-24,138.211004,130.625305
2013-01-25,138.034967,131.292824
2013-01-28,138.58115,131.160076
2013-01-29,139.197147,131.844981
2013-01-30,139.347088,131.429257
2013-01-31,138.549298,130.958356
2013-02-01,138.99135,132.368131
2013-02-04,136.161282,131.142597
2013-02-05,139.237838,132.080053
2013-02-06,139.008864,132.14827
2013-02-07,139.62642,131.747002
2013-02-08,140.95677,132.209211
2013-02-11,140.867648,132.0039
2013-02-12,139.784242,132.452315
2013-02-13,140.937702,132.114161
2013-02-14,140.77143,132.024214
2013-02-15,139.289659,132.103296
2013-02-19,140.132031,132.612652
2013-02-20,137.36895,131.591011
2013-02-21,136.216853,131.147699
2013-02-22,137.403717,132.281018
2013-02-25,135.235244,130.236414
2013-02-26,136.013772,131.332035
2013-02-27,136.99932,132.987747
2013-02-28,136.744384,132.790468
2013-03-01,135.466178,133.122763
2013-03-04,135.076459,133.483309
2013-03-05,137.330509,134.673317
